INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
Marshall University,Huntington,WV,1,0.7868,1022,5686,0.6019,0.4364,14726.5,0.4438,0.156,33300,0.6856
Ohio Valley University,Vienna,WV,2,0.3639,971,9340,0.783,0.5024,12000,0.3645,0.086,31700,0.64
Shepherd University,Shepherdstown,WV,1,0.8102,1007,4759,0.5561,0.329,14000,0.3792,0.114,36700,0.6841
University of Charleston,Charleston,WV,2,0.6905,991,11740,0.6589,0.3782,10250,0.4568,0.083,40000,0.6625
West Liberty University,West Liberty,WV,1,0.7122,984,4915,0.6177,0.4003,15000,0.4148,0.181,31100,0.677
West Virginia State University,Institute,WV,1,0.4478,942,3799,0.5265,0.4612,12916,0.1868,0.142,28900,0.5176
West Virginia University,Morgantown,WV,1,0.851,1062,11359,0.5348,0.2663,14625,0.5744,0.105,41000,0.7707
West Virginia University Institute of Technology,Montgomery,WV,1,0.5131,990,7357,0.5113,0.3902,14625,0.2024,0.105,41000,0.5316
West Virginia Wesleyan College,Buckhannon,WV,2,0.7696,1021,10171,0.6791,0.3665,15300,0.601,0.114,36800,0.651
Wheeling Jesuit University,Wheeling,WV,2,0.6892,1023,13619,0.5765,0.2474,16625,0.5375,0.069,40800,0.6716
